Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Globus pallidus	71/3792	1.6121794602014468E-16	4.323572188722062E-15	0	0	4.217399947723583	153.36058076958415	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;BAI2;PIP4K2C;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;IQSEC2;KCNB1;GAD1;KIAA1045;CORO2B;TUBB4A;SNAP91;GNAO1;RALYL;NECAP1;PPP2R2C;RAB15;SPATS2L;FXYD7;RLTPR;EBAG9
Pons	76/4336	2.457172300946973E-16	6.040548573161309E-15	0	0	4.091742612537973	147.06684619562498	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;BAI2;PIP4K2C;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;ANO3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;CADM3;IQSEC2;RHBDD2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;EBAG9
Corpus callosum	113/9077	3.7880798282097025E-16	8.596027302475863E-15	0	0	4.429171884671302	157.2776889548983	CHRM3;RAB3A;CRTC1;CTNND2;ABAT;FAIM2;ENO2;SCAMP5;FAM19A1;PIP4K2C;BSN;ANKS1B;SLC15A2;TSPYL1;UNC5A;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CPLX2;NDRG2;ACTR3B;EPB49;KLC2;MAP2;VPS8;TSPAN7;PLXNA4;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;RALYL;DLG1;SPATS2L;FXYD7;CNIH2;DPP10;GABRB1;GDI1;KCNC2;DIRAS1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;ANKRD6;ZNF365;PDE4D;KCNAB2;DNM1;SYN1;ANO3;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;GRIN1;NECAP1;PPP2R2C;RAB15;EBAG9;HCN1;CDK5R1
Medulla oblongata	77/4544	9.290766338519034E-16	1.957697192759368E-14	0	0	3.959226700613788	137.0381024716255	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;BAI2;PIP4K2C;BSN;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;ANO3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;IQSEC2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;EBAG9
Caudate nucleus	75/4512	9.438629443865628E-15	1.8562637906269068E-13	0	0	3.7772780276528404	121.98328672943424	DPP10;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;BAI2;PIP4K2C;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;ANO3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;NDRG2;ACTR3B;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;CA11;IQSEC2;RHBDD2;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GRIN1;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;EBAG9
Embryonic brain	74/4936	4.299306425317468E-12	7.926846221679081E-11	0	0	3.2601398601398603	85.32623023166283	DPP10;RAB3A;GDI1;FAM57B;CTNND2;ABAT;ENO2;CNDP2;SCAMP5;GRM5;LRRTM1;BAI2;PIP4K2C;SULT4A1;ANKRD6;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;RNF41;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;NDRG2;ACTR3B;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;SLIT1;CTNNA2;CA11;IQSEC2;GAD1;KIAA1045;SMARCA2;TUBB4A;SNAP91;GNAO1;LRFN5;RALYL;NECAP1;PPP2R2C;RAB15;LYRM5;SPATS2L;FXYD7;RLTPR;CNIH2;EBAG9
Cerebral peduncle	73/4907	1.0359494342454566E-11	1.7976769594259393E-10	0	0	3.195108591141387	80.81425762465608	DPP10;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;PIP4K2C;BSN;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;RNF41;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;ABCG4;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;SNCB;CA11;CADM3;IQSEC2;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;RLTPR;EBAG9
Thalamus	72/4856	1.9630684436568306E-11	3.2172510604375836E-10	0	0	3.150501672240803	77.67223900127892	DPP10;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;BAI2;SH3BGRL2;PIP4K2C;SULT4A1;ZNF365;RBFOX1;SLC6A17;KCNAB2;HPCAL4;RUNDC3A;DNM1;SYN1;RNF41;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;IQSEC2;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;EBAG9
Cerebral cortex	140/15695	6.731998229578077E-11	1.04523130406607E-9	0	0	9.6775956284153	226.6644254698767	CHRM3;RAB3A;CRTC1;CTNND2;WIPF3;ABAT;FAIM2;KNDC1;ENO2;CNDP2;SCAMP5;RIMS2;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;C11ORF87;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;CPLX1;KLC2;NEURL;MAP2;VPS8;CASKIN1;TSPAN7;PLXNA4;ANKRD34A;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;SLC35F1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;DLGAP4;ANKRD6;ZNF365;PDE4D;KCNAB2;DUSP8;DNM1;SYN1;ANO3;MPPED1;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;ASPDH;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;KCNK4;HCN1;CDK5R1
Retina	116/11092	1.9446180730385548E-10	2.8683116577318682E-9	0	0	3.351728446480633	74.94728029507203	CHRM3;RAB3A;CRTC1;CTNND2;WIPF3;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;PIP4K2C;BSN;ANKS1B;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;CPLX1;KLC2;MAP2;VPS8;CASKIN1;TSPAN7;PLXNA4;ANKRD34A;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;RALYL;DLG1;PPP1R1B;SPATS2L;RLTPR;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;SLC35F1;GRM5;NUDCD3;SH3BGRL2;SULT4A1;YWHAG;DLGAP4;ZNF365;PDE4D;KCNAB2;DNM1;SYN1;MPPED1;KCNMA1;MAPRE3;PLCB1;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;SV2B;CAMK2N2;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;TUBB4A;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;HCN1;CDK5R1
